Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
0,0,1,19000,1,0,0,0,0,0,0,1,0,0,0,1,0,17.6,23.0,13.7,0.5,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,32700,2,0,0,1,0,0,0,0,0,0,0,1,0,15.3,20.0,10.9,0.0,0,0,0,1,0,1,1,0,0,1,0,0
1,0,0,14800,1,0,1000,0,0,1,0,0,0,0,1,1,0,14.5,20.4,9.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,13.6,16.4,12.3,2.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16.8,21.4,12.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.7,21.9,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,24200,1,0,0,0,0,0,0,0,0,1,1,0,0,17.1,22.1,13.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,30000,2,0,6300,0,0,0,0,1,0,0,0,0,0,15.5,20.3,11.6,0.0,0,1,1,0,0,0,2,0,0,0,0,0
1,0,0,23900,1,0,7170,1,0,0,0,0,0,0,0,1,1,15.3,20.3,11.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,0,47800,2,0,3000,0,0,1,0,0,0,0,1,1,1,14.9,19.6,10.6,0.0,0,0,1,0,1,0,0,0,0,2,0,0
